GEOID,county_name,compound_risk_score,resilience_index,HWAV_RISKR,IFLD_RISKR,CASTHMA_CrudePrev,CHD_CrudePrev
28011950701,Bolivar,99.98000752657823,24.136575196615063,Relatively High,Relatively High,12.9,12.4
28011950100,Bolivar,99.94002257973469,13.99106726491506,Relatively High,Relatively High,12.6,11.9
28151000400,Washington,99.91179791137455,23.23091172511533,Relatively High,Relatively High,13.3,13.0
28083950200,Leflore,99.85652460250259,20.07400321140378,Relatively High,Relatively High,12.2,12.0
28011950200,Bolivar,99.82477185059743,18.358342971565058,Relatively High,Relatively High,12.6,10.7
28011950400,Bolivar,99.81536362781071,15.43058352666506,Relatively High,Very High,11.0,9.6
28083950800,Leflore,99.81065951641735,19.48839985560378,Relatively High,Relatively High,12.9,10.2
28151000300,Washington,99.6754163138583,21.74919255704033,Relatively High,Relatively High,12.5,11.1
28053950300,Humphreys,99.56957380750777,21.438233300249035,Relatively High,Relatively High,12.0,9.7
28083950300,Leflore,99.49783610875905,15.656567907653777,Relatively High,Very High,11.7,8.4
28151000600,Washington,99.49430802521404,26.235887882465327,Relatively High,Relatively High,12.1,11.7
28027950700,Coahoma,99.49195596951735,19.698039241873992,Relatively High,Relatively Moderate,12.7,11.4
28151001200,Washington,99.30731959732807,22.01002810816533,Relatively High,Relatively Moderate,12.2,14.2
28027950500,Coahoma,99.17442845046571,23.18364871589899,Relatively High,Relatively Moderate,12.2,8.4
28011950500,Bolivar,99.15561200489228,24.03239657889006,Relatively High,Very High,10.7,8.2
28133950402,Sunflower,99.0344811365133,18.796208208087144,Relatively High,Relatively High,12.0,8.7
28133950200,Sunflower,98.99449618966976,21.252286775862146,Relatively High,Relatively High,11.4,10.0
28011950702,Bolivar,98.84396462508232,25.09209135134006,Relatively High,Relatively Moderate,12.1,9.2
28125950100,Sharkey,98.77105089848529,19.100207038574755,Relatively Moderate,Relatively High,11.4,11.0
28119950300,Quitman,98.56524602502587,15.675872148882464,Relatively High,Relatively Moderate,11.4,10.6
